image_id,degradation_type,level,param_value,image_path,gt_path
img_000,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,poisson,P1000,1000,quality_experiment\data\degraded\poisson\P1000\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,poisson,P500,500,quality_experiment\data\degraded\poisson\P500\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_005.png,quality_experiment\data\gt\img_005_gt.csv
