degradation_type,param_value,n_images,total_gt,total_pred,total_matched,mean_detection_rate,mean_false_positive,level_bias_x,level_bias_y,sigma_x,sigma_y,mean_abs_error,median_error
background,nonlinear_α0.1,10,1960,1960,1960,1.0,0.0,-0.2967,0.7922,0.3432,0.271,0.9065,0.9281
background,linear_α0.1,10,1960,1960,1960,1.0,0.0,-0.2976,0.8029,0.3487,0.2428,0.9179,0.939
background,linear_α0.3,10,1960,1960,1960,1.0,0.0,-0.2593,0.8758,0.3555,0.2721,0.9769,1.0492
background,nonlinear_α0.3,10,1960,1960,1960,1.0,0.0,-0.2586,0.8833,0.3505,0.2809,0.9808,1.0529
blur,0.5,10,1960,1960,1960,1.0,0.0,-0.3238,0.6447,0.3342,0.266,0.7907,0.8414
blur,1.0,10,1960,1960,1960,1.0,0.0,-0.3229,0.4797,0.3359,0.286,0.6719,0.7172
blur,1.5,10,1960,1960,1960,1.0,0.0,-0.2617,0.2649,0.3436,0.2535,0.5242,0.5075
blur,2.0,10,1960,1960,1960,1.0,0.0,-0.1695,0.1553,0.344,0.2409,0.4488,0.4827
poisson,50,10,1960,1960,1960,1.0,0.0,-0.3101,0.8677,0.3538,0.2574,0.9787,1.0529
poisson,100,10,1960,1960,1960,1.0,0.0,-0.3222,0.8292,0.3424,0.2554,0.945,0.9778
poisson,200,10,1960,1960,1960,1.0,0.0,-0.3202,0.8129,0.338,0.256,0.93,0.9778
poisson,500,10,1960,1960,1960,1.0,0.0,-0.3172,0.7745,0.3338,0.2628,0.8962,0.9778
poisson,1000,10,1960,1960,1960,1.0,0.0,-0.3202,0.752,0.3348,0.2615,0.878,0.9258
